Description,Link,Price
Ноутбук Acer Aspire 7 A715-42G-R0VS (NH.QBFEU.00A) Charcoal Black / AMD Ryzen 5 5500U / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650,https://rozetka.com.ua/ua/acer_nh_qbfeu_00a/p282286938/,23 999₴
Ноутбук ASUS TUF Gaming A15 FA506ICB-HN119 (90NR0667-M00KT0) Graphite Black / AMD Ryzen 5 4600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/asus-90nr0667-m00kt0/p362023689/,32 999₴
Ноутбук Lenovo IdeaPad 3 15IAU7 (82RK00P4RA) Arctic Grey / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/lenovo-82rk00p4ra/p375777099/,22 999₴
"Ноутбук Apple MacBook Air 13.6"" M2 8/256GB 2022 (MLXW3UA/A) Space Gray",https://rozetka.com.ua/ua/apple-macbook-air-136-m2-256gb-2022-space-gray/p343424014/,47 999₴
Ноутбук HP Laptop 15s-fq5000ua (7X8E4EA) Spruce Blue / Intel Core i3-1215U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/hp-7x8e4ea/p373807101/,19 999₴
Ноутбук Lenovo IdeaPad Gaming 3 15IAH7 (82S900UHRA) Onyx Grey / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti,https://rozetka.com.ua/ua/lenovo-82s900uhra/p351264234/,36 999₴
Ноутбук Acer Aspire 7 A715-42G-R3EZ (NH.QBFEU.00C) Charcoal Black / AMD Ryzen 5 5500U / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650,https://rozetka.com.ua/ua/acer_nh_qbfeu_00c/p288376303/,27 499₴
Ноутбук ASUS Laptop X515EA-BQ2066 (90NB0TY1-M00VF0) Slate Grey / Intel Core i3-1115G4 / RAM 12 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/asus-90nb0ty1-m00vf0/p346597995/,17 777₴
Ноутбук Lenovo IdeaPad Gaming 3 15IAH7 (82S900UGRA) Onyx Grey / Intel Core i5-12450H / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/lenovo-82s900ugra/p351266145/,35 999₴
Ноутбук ASUS Laptop X515JA-BQ3253 (90NB0SR1-M019U0) Slate Grey / Intel Core i7-1065G7 / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/asus-90nb0sr1-m019u0/p370960626/,22 999₴
Ноутбук ASUS TUF Gaming F15 FX506LHB-HN323 (90NR03U2-M008E0) Bonfire Black / Intel Core i5-10300H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650,https://rozetka.com.ua/ua/asus-90nr03u2-m008e0/p353689830/,25 999₴
Ноутбук HP Laptop 15s-eq2056ua (4A7P1EA) Natural Silver / AMD Ryzen 3 5300U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/hp-4a7p1ea/p314196580/,19 777₴
Ноутбук Lenovo IdeaPad 3 15IAU7 (82RK00NYRA) Arctic Grey / Intel Core i3-1215U / RAM 8 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/lenovo-82rk00nyra/p375767499/,17 499₴
Ноутбук Acer Aspire 5 A515-56G-51Q5 (NX.AT2EU.00M) Pure Silver / Intel Core i5-1135G7 / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce MX450,https://rozetka.com.ua/ua/acer-nxat2eu00m/p353549163/,19 999₴
"Ноутбук Apple MacBook Air 13"" M1 8/256GB 2020 (MGN63) Space Gray",https://rozetka.com.ua/ua/apple_macbook_air_13_m1_256gb_2020_space_gray/p245161909/,43 499₴
Ноутбук Lenovo IdeaPad 3 15ALC6 (82KU0242RA) Arctic Grey / AMD Ryzen 5 5500U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/lenovo-82ku0242ra/p372158451/,21 999₴
Ноутбук ASUS TUF Gaming F15 FX506LHB-HN344 (90NR03U2-M00C90) Bonfire Black / Intel Core i5-10300H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650,https://rozetka.com.ua/ua/asus-90nr03u2-m00c90/p368196027/,28 499₴
Ноутбук HP Laptop 15s-eq2052ua (4A7N7EA) Natural Silver / AMD Ryzen 7 5700U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/hp-4a7n7ea/p311987696/,23 999₴
"Ноутбук Acer Aspire 5 A515-56G-59YJ (NX.AT2EU.00N) Pure Silver / Intel Core i5-1135G7 / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce MX450, 2 ГБ",https://rozetka.com.ua/ua/acer-nxat2eu00n/p353549349/,22 999₴
"Ноутбук Acer Aspire 5 A515-45G-R38Y (NX.A8BEU.005) Charcoal Black/ AMD Ryzen 5 5500U / RAM 8 ГБ / SSD 512 ГБ / AMD Radeon RX 640, 2 ГБ",https://rozetka.com.ua/ua/acer-nxa8beu005/p363142902/,20 499₴
Ноутбук Lenovo IdeaPad 1 15ADA7 (82R1007TRA) Cloud Grey / AMD Athlon Silver 3050U / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/lenovo-82r1007tra/p349968489/,12 999₴
Ноутбук ASUS TUF Gaming F15 FX506HF-HN038 (90NR0HB4-M00520) Graphite Black / Intel Core i5-11400H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050,https://rozetka.com.ua/ua/asus-90nr0hb4-m00520/p372852162/,32 499₴
"Ноутбук HP Pavilion 15-eg2021ua (7X8L7EA) Natural Silver / Intel Core i5-1235U / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce MX550, 2 ГБ",https://rozetka.com.ua/ua/hp-7x8l7ea/p375533181/,32 555₴
Ноутбук Acer Aspire 5 A515-56-54B2 (NX.A8NEU.001) Glacier Blue / Intel Core i5-1135G7 / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/acer-nxa8neu001/p367531242/,23 499₴
Ноутбук Lenovo IdeaPad 5 Pro 16ACH6 (82L500XNRA) Cloud Grey / AMD Ryzen 7 5800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/lenovo-82l500xnra/p350009652/,39 999₴
Ноутбук ASUS X515MA-EJ435W (90NB0TH1-M00AA0) Slate Grey / Intel Celeron N4020 / RAM 4 ГБ / SSD 256 ГБ / Windows 11 Home,https://rozetka.com.ua/ua/asus-90nb0th1-m00aa0/p377214726/,13 333₴
Ноутбук HP Pavilion 15-eh1106ua (4A7N2EA) Silver / AMD Ryzen 5 5500U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/hp-4a7n2ea/p314213398/,22 555₴
Ноутбук Acer Aspire 5 A515-45-R2ZN (NX.A7ZEU.002) Charcoal Black / AMD Ryzen 3 5300U / RAM 8 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/acer-nxa7zeu002/p365576667/,17 499₴
"Ноутбук Apple MacBook Pro 16"" M2 Pro 16/512GB 2023 (MNW83UA/A) Space Gray",https://rozetka.com.ua/ua/apple-mnw83ua-a/p364900395/,124 499₴
"Ноутбук Dream Machines RG3050Ti-15 (RG3050Ti-15UA39) / Intel Core i7-12700H / RAM 32 ГБ / SSD 1 ТБ / nVidia GeForce RTX 3050 Ti, 4 ГБ",https://rozetka.com.ua/ua/dream-machines-rg3050ti-15ua39/p362796537/,45 999₴
Ноутбук ASUS Laptop X515EA-EJ3560W (90NB0TY2-M03RX0) Transparent Silver / Intel Pentium Gold 7505 / RAM 8 ГБ / SSD 512 ГБ / Windows 11 Home,https://rozetka.com.ua/ua/asus-90nb0ty2-m03rx0/p370831845/,14 999₴
Ноутбук Lenovo IdeaPad 1 15IAU7 (82QD004ARA) Cloud Grey / Intel Core i5-1235U / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/lenovo-82qd004ara/p349990281/,19 499₴
Ноутбук Acer Aspire 3 A315-35-C654 (NX.A6LEU.01A) Pure Silver / Intel Celeron N4500 / RAM 4 ГБ / SSD 128 ГБ,https://rozetka.com.ua/ua/acer_nx_a6leu_01a/p282334828/,10 999₴
Ноутбук Lenovo IdeaPad Gaming 3 15IHU6 (82K101FJRA) Shadow Black / Intel Core i5-11320H / RAM 8 ГБ / SSD 256 ГБ / nVidia GeForce GTX 1650,https://rozetka.com.ua/ua/lenovo-82k101fjra/p350001258/,25 999₴
Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K201NXRA) Shadow Black / AMD Ryzen 7 5800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti,https://rozetka.com.ua/ua/lenovo-82k201nxra/p350001612/,37 999₴
Ноутбук Acer Aspire 3 A315-24P-R42V (NX.KDEEU.014) Pure Silver / AMD Athlon Gold 7220U / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/acer-nxkdeeu014/p374247741/,13 999₴
Ноутбук ASUS Laptop X515JA-BQ4176 (90NB0SR1-M02YZ0) Slate Grey / Intel Core i7-1065G7 / RAM 16 ГБ / SSD 1 ТБ,https://rozetka.com.ua/ua/asus-90nb0sr1-m02yz0/p371199345/,23 999₴
Ноутбук HP Laptop 17-cp0036ua (4A7P4EA) Natural Silver / AMD Ryzen 5 5500U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/hp-4a7p4ea/p373682910/,22 999₴
Ноутбук ASUS ROG Strix G15 G513RC-HN038 (90NR08A5-M002A0) Eclipse Gray / AMD Ryzen 7 6800H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/asus-90nr08a5-m002a0/p342602632/,37 999₴
Ноутбук Acer Aspire 3 A315-58G-57N6 (NX.ADUEU.01P) Pure Silver / Intel Core i5-1135G7 / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce MX350,https://rozetka.com.ua/ua/acer-nxadueu01p/p353548038/,22 499₴
Ноутбук Lenovo IdeaPad Gaming 3 15IHU6 (82K10190RA) Shadow Black / Intel Core i5-11320H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/lenovo-82k10190ra/p363004722/,33 999₴
"Ноутбук Acer Aspire 5 A515-57G-37UE (NX.K9TEU.004) Steel Gray / Intel Core i3-1220P / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050, 4 ГБ",https://rozetka.com.ua/ua/acer-nxk9teu004/p359979255/,24 999₴
Ноутбук ASUS Vivobook Pro 16 K6602HC-MB079 (90NB0YU2-M00510) Cool Silver / Intel Core i5-11400H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/asus-90nb0yu2-m00510/p361106136/,35 999₴
Ноутбук Lenovo IdeaPad 3 14ITL6 (82H701MRRA) Arctic Grey / Intel Core i5-1155G7 / RAM 8 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/lenovo-82h701mrra/p370951041/,19 999₴
Ноутбук HP Laptop 17-cp0044ua (6B4A6EA) Natural Silver / AMD Athlon 3150U / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/hp-6b4a6ea/p372870540/,15 777₴
Ноутбук ASUS Vivobook Go 15 E1504FA-BQ008 (90NB0ZR1-M00400) Cool Silver / AMD Ryzen 5 7520U / RAM 8 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/asus-90nb0zr1-m00400/p373572861/,20 999₴
Ноутбук Acer Aspire 5 A515-45G-R18Y (NX.A8BEU.00J) Charcoal Black / AMD Ryzen 3 5300U / RAM 8 ГБ / SSD 512 ГБ / AMD Radeon RX 640,https://rozetka.com.ua/ua/acer-nxa8beu00j/p365578146/,18 999₴
Ноутбук HP Pavilion 15-eh1107ua (4A7N3EA) Silver / AMD Ryzen 3 5300U / RAM 8 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/hp-4a7n3ea/p311977658/,18 999₴
Ноутбук Lenovo IdeaPad 1 15IGL7 (82V7006TRA) Cloud Grey / Intel Pentium Silver N5030 / RAM 8 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/lenovo-82v7006tra/p363053574/,13 999₴
Ноутбук ASUS TUF Gaming F15 FX506HF-HN033 (90NR0HB4-M005A0) Graphite Black / Intel Core i5-11400H / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 2050,https://rozetka.com.ua/ua/asus-90nr0hb4-m005a0/p372851505/,32 499₴
Ноутбук Acer Swift 1 SF114-34-C25X (NX.A77EU.00A) Pure Silver / Intel Celeron N4500 / RAM 4 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/acer-nxa77eu00a/p377333553/,12 499₴
Ноутбук HP Laptop 15s-eq2003ua (422F0EA) Natural Silver / AMD Ryzen 3 5300U / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/hp_422f0ea/p298117523/,17 222₴
Ноутбук Lenovo V15 G2 ITL (82KB003LRA) Black / Intel Core i5-1135G7 / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/lenovo-82kb003lra/p328597594/,18 499₴
Ноутбук ASUS Vivobook Pro 15 M3500QC-KJ125 (90NB0UT2-M00E40) Quiet Blue / AMD Ryzen 5 5600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/asus-90nb0ut2-m00e40/p359407206/,31 999₴
Ноутбук ASUS Vivobook Pro 15 M3500QC-KJ512 (90NB0UT2-M00EZ0) Quiet Blue / AMD Ryzen 5 5600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050,https://rozetka.com.ua/ua/asus-90nb0ut2-m00ez0/p362867265/,31 999₴
Ноутбук Acer Aspire 3 A315-35-P9Q4 (NX.A6LEU.027) Pure Silver / Intel Pentium Silver N6000 / RAM 4 ГБ / SSD 128 ГБ / Windows 11 Home,https://rozetka.com.ua/ua/acer-nxa6leu027/p369755118/,12 999₴
Ноутбук HP Laptop 15s-fq2043ua (7X8E2EA) Chalkboard Gray / Intel Core i3-1125G4 / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/hp-7x8e2ea/p379607457/,15 999₴
Ноутбук Lenovo IdeaPad 3 15ITL6 (82H803D9RA) Arctic Grey / Intel Core i5-1155G7 / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/lenovo-82h803d9ra/p372187911/,23 999₴
Ноутбук ASUS Vivobook 15 X1504VA-BQ003 (90NB10J1-M00030) Quiet Blue / Intel Core i5-1335U / RAM 16 ГБ / SSD 512 ГБ,https://rozetka.com.ua/ua/asus-90nb10j1-m00030/p372823491/,31 999₴
Ноутбук Acer Swift 1 SF114-34-P1A1 (NX.A77EU.00V) Pure Silver / Intel Pentium Silver N6000 / RAM 8 ГБ / SSD 256 ГБ,https://rozetka.com.ua/ua/acer_nx_a77eu_00v/p282363393/,14 999₴
